Abbreviation,Meaning,Example
ም/መ/አለቃና,ምክትል መቶ አለቃና,በቅፅል ስሙ ተስፋዬ ተንኮሉ በመባል የሚታወቀው ይህ ግለሰብ የደህንነት አባል ነኝ እያለ የተለያዩ የማጭበርበር ወንጀሎችን እንደፈፀመ የተገለጠው በ1995 ዓ.ም ሐምሌ ወር ነበር። ተስፋዬ ተክሉ የተባለ ግለሰብ በ1988 ዓ.ም በደቡብ ክልል ሙስና ፈፅመዋል የተባሉ የሲዳማ ዞን የአቃቤ ህግ ኃላፊ፣ የፖሊስ ም/መ/አለቃና 10 አለቃን ጥፋታቸውን አሣምኖ አስሯል። በ1990 ዓ.ም ደግሞ የኮንትሮባንድ ዕቃ አላግባብ ይዘው ለግል ጥቅማቸው አውለዋል የዞኑን አመራር አባላትና ፖሊስ ባልደረቦችን ገምግሟል። በግምገማው መሠረትም የዞኑን አመራር አባላትና ፖሊስ ባልደረቦችን ገምግሟል። በግምገማው መሰረትም የዞኑን የኢህአዴግ ተጠሪ፣ ም/አስተዳዳሪዎችን ሶስት ፖሊሶችን አስሯል።
ም/መቶ/አለቃ,ምክትል መቶ አለቃ,ጠቅላይ ፍርድ ቤቱ በሞት እንዲቀጡ ውሣኔ ያሳለፈባቸው የደርግ ከፍተኛ ባለሥልጣናት ኮ/ል መንግሥቱ ኃ/ማሪያም ሻምበል ፍቅረስላሴ ወግደረስ ፣ ኮ/ል ፍስሐ ደስታ ሻለቃ ብርሃኑ ባይህ ፣ ሻምበል ለገሰ አስፋው ፣ ሻለቃ አዲስ ተድላ ፣ ሌ/ኮ እንዳለ ተሠማ ፣ ሻለቃ ካሥዬ አራጋው ፣ ኮ/ል ደበላ ዲንሳ ፣ ሻንበል በጋሻው አታላይ ፣ መ/አለቃ ስለሺ መንገሻ ፣ ሌ/ኮ ናደው ዘካሪያስ ፣ ም/መ/አለቃ ጴጥሮስ ገብሬ ፣ ም/መ/አለቃ አራጋው ይመር ፣ ሻለቃ ደጀኔ ወንድም አገኘሁ ፣ ም/መቶ/አለቃ ደሳለኝ በላይ ናቸው።
ም/ሚ/ር,ምክትል ሚኒስቴር,በሹምሽር በሚናጠውና ጨርሶውንም የፖለቲካ መረጋጋት በማይታይበት በሶማሌ ክልል በተካሄደው ምርጫ በማዕከላዊው መንግሥት ውስጥ የውሀ ሀብት ም/ሚ/ር የነበሩት አቶ አብዶ ረሺድ በፕሬዝዳንትነት ሲሰየሙ የቀድሞው ፕሬዝዳንት አቶ መሐመድ መዐሊን ዓሊ በም/ቤት አባልነት ብቻ ተወስነዋል።
ም/ሚኒስትር,ምክትል ሚኒስትር,ሆኖም የፍትህ ም/ሚኒስትር ዐቃቤ ሕግ መስፍን ግርማ ቀጠሮ እንዲያጥርላቸው ፍ/ቤቱን ቢጠይቁም ፍ/ቤቱ ለጥያቄው ብዙም ትኩረት ባለመስጠት አልፎ የአቶ ታምራት ላይኔ ጠበቃ በ8/7/92 እንደማይመቻቸው ያቀረቡትን ጥያቄ አዳመጠ።
ም/ሥ/አስኪያጅ,ምክትል ሥራ አስኪያጅ,ም/ሥ/አስኪያጅና የቦርዱ ሊ/መንበር በመሆን የሚያገለግሉትም ግለሰብ ከሥራ አስኪያጅ ጋር የቅርብ ትስስር ያላቸውን ከአለቃቸው ጋር በቀላሉ በመወዳጀት ለጥቅም በሚያደርጉት ጥድፊያ በሠራተኛው ዘንድ በክፉ ዓይን የሚታዩ መሆናቸውን ሠራተኞች ይናገራሉ። እኚሁ የባንኩ አመራሮች ብዙሃኑን ሠራተኛ ዕድሜ ወዘተ እያሳበቡ ትምህት በመንፈግ እነርሱ ዕድሜያቸውን ቀንሰው እስከ 15ሺህ ዶላር እየተከፈለላቸው በመማር ላይ መሆናቸውን ይናገራሉ። በህክምናም ረገድ ብዙሃኑ ሠራተኛ ሁለትና ሶስት ቀን ቢቀር ልግም ነው እየተባለ ሲወነጀል ም/ሥ/አስኪያጅ በጥቁር አንበሳ ሆስፒታል ለ6 ወር አንደውም እንግሊዝ ሀገር ለ3 ወር በውጭ ምንዛሪ ሕክምና መውሰዳቸውን ይገልጣሉ። የዓለም ባንክና ዓለም አቀፍ የገንዘብ ድርጅት በጣለባት ግዴታ መሠረት በተካሄደው የመዋቅር ለውጥ ሥ/አስኪያጅ 3400 ብር መምሪያ ኃላፊዎች 2800 ብር የዋና ክፍል ኃላፊዎች ደግሞ 2150 ብር ሲመደብላቸው የቅርንጫፍ ሥ/አስኪያጆችን ጨምሮ በአጠቃላይ 70 ያህል ሰዎች የደሞዝ ዕድገት ሲደረግላቸው በሌላው 830 የድርጅቱ ሠራተኛ ያለአስተዋፅኦ መቅረቱንም ሠራተኞቹ በማማረር ይገልፃሉ። መንግሥት ጉዳዩን ትክረት ሰጥቶ እርምጃ እንዲወስድና ህልውናውን እንዲጠበቅ ሠራተኞች ጠይቀዋል።
ም/ሥ/አስኪያጅና,ምክትል ሥራ አስኪያጅና,ም/ሥ/አስኪያጅና የቦርዱ ሊ/መንበር በመሆን የሚያገለግሉትም ግለሰብ ከሥራ አስኪያጅ ጋር የቅርብ ትስስር ያላቸውን ከአለቃቸው ጋር በቀላሉ በመወዳጀት ለጥቅም በሚያደርጉት ጥድፊያ በሠራተኛው ዘንድ በክፉ ዓይን የሚታዩ መሆናቸውን ሠራተኞች ይናገራሉ። እኚሁ የባንኩ አመራሮች ብዙሃኑን ሠራተኛ ዕድሜ ወዘተ እያሳበቡ ትምህት በመንፈግ እነርሱ ዕድሜያቸውን ቀንሰው እስከ 15ሺህ ዶላር እየተከፈለላቸው በመማር ላይ መሆናቸውን ይናገራሉ። በህክምናም ረገድ ብዙሃኑ ሠራተኛ ሁለትና ሶስት ቀን ቢቀር ልግም ነው እየተባለ ሲወነጀል ም/ሥ/አስኪያጅ በጥቁር አንበሳ ሆስፒታል ለ6 ወር አንደውም እንግሊዝ ሀገር ለ3 ወር በውጭ ምንዛሪ ሕክምና መውሰዳቸውን ይገልጣሉ። የዓለም ባንክና ዓለም አቀፍ የገንዘብ ድርጅት በጣለባት ግዴታ መሠረት በተካሄደው የመዋቅር ለውጥ ሥ/አስኪያጅ 3400 ብር መምሪያ ኃላፊዎች 2800 ብር የዋና ክፍል ኃላፊዎች ደግሞ 2150 ብር ሲመደብላቸው የቅርንጫፍ ሥ/አስኪያጆችን ጨምሮ በአጠቃላይ 70 ያህል ሰዎች የደሞዝ ዕድገት ሲደረግላቸው በሌላው 830 የድርጅቱ ሠራተኛ ያለአስተዋፅኦ መቅረቱንም ሠራተኞቹ በማማረር ይገልፃሉ። መንግሥት ጉዳዩን ትክረት ሰጥቶ እርምጃ እንዲወስድና ህልውናውን እንዲጠበቅ ሠራተኞች ጠይቀዋል።
ም/ሳጅን,ምክትል ሳጅን,የብ/ጀ/ተፈራ ማሞ፣ አቶ አሣምነው ፅጌ (የቀድሞው ብ/ጀኔራል)፣ ሌ/ኮሎኔል ደምሰው አንተነህ፣ ሻለቃ መኮንን ወርቁ፣ ሌ/ኮ/ አበራ አሰፋ፣ ሌ/ኮ ዓለሙ ጌትነት፣ ሌ/ኮ ሰለሞን አሻግሬ፣ ሌ/ኮ ጌታቸው ብርሌ፣ ሻምበል ተመስገን ባይለኝ፣ ሻለቃ አዱኛ አለማየሁ (የሚስጥር ስም እሸቴ)፣ ሌ/ኮ ፋንታሁን ሙሀባ፣ ሻለቃ መሠከረ ካሣ፣ ሻለቃ ምስጋናው ተሰማ፣ ሻለቃ ፋናዬ ውቤ፣ መ/አ አባቡ ተፈራ፣ ሻለቃ አደፍርስ አሳምነው፣ አቶ ክፍሌ ስንሻው፣ የሺዋስ መንገሻ፣ መንግሥቱ አበበ፣ ወ/ሮ እማዋይሽ ዓለሙ፣ ጐሽ ይራድ ፀጋው (ጠበቃ)፣ መላኩ ተፈራ፣ ዋ/ሳጅን አመራር ባያብል፣ ም/ሳጅን ጐበና በላይ፣ ረ/ሳጅን ይበልጣል ብርሃኑ፣ ም/ሳጅን የሺዋስ ምትኩ፣ ሣጅን ውድነህ ተመስገን፣ ጌቱ ወርቁና ጽጌ ሃብተማርያም በወ/መ/ሥ/ሥ/ቁ 27 ለፖሊስ እና 35 ለፍርድ ቤት በሰጡት ቃልና በዐቃቤ ሕግ ምስክሮች ስለተመሰከረባቸው በሁሉም ክሶች በማረሚያ ቤት ሆነው እንዲከላከሉ በይኗል። በተጨማሪም ኢ/ር አራጋው አስፋው፣ ሣጅን አይተን ካሣና አቶ ጌቱ ወልዴ እያንዳንዳቸው በሦስት ሺ ብር ዋስ ተለቀው በውጭ እንዲከላከሉ ፍርድ ቤቱ ብይን ሰጥቷል። በሌለበት ክስ ተመስርቶበት የነበረው አቶ አማኑኤል (የአባቱ ስም ያልታወቀ) በነፃ ተሰናብቷል።
ም/ቤቱ,ምክር ቤቱ,አንዳንድ ሙስሊም ኢትዮጵያውያን ቪዛ አግኝተው ከአገር ከወጡ በኋላ ቪዛው የተሳሳተ ነው በሚል ከሳውዲ ዓረቢያ ተመልሰዋል። በዚህ የተነሳ ወደ አንድ ሚሊዮን ብር ኪሳራ ደርሷል ይባላል ተብለው ለተጠየቁት ሲመልሱ በወሬ ደረጃ እንሰማለን እንጂ ጠ/ም/ቤታችን ድረስ በአካል መጥቶ ያሳወቀን እንዲሁም ችግር እንደገጠመው የገለፀልን ማንም ተጓዥ አላጋጠመንም። ገጠመኝ የሚል ግለሰብ ካለ አሁንም ቢሆን ጠቅላይ ም/ቤቱ የራሱን ክትትል አድርጐ እርምጃ ለመውሰድ ዝግጁ ነው ሲሉ አስረድተዋል።
ም/ቤቱን,ምክር ቤቱን,ዶ/ር በየነ ጴጥሮስ በመቀጠልም «የምክር ቤቱን አባላት ብቃትም በቀጣይነት ማሻሻል....&# 87፤ በማለት በጠ/ሚ/ር መለስ ዜናዊ ሪፖርት ላይ የቀረበው የም/ቤቱን ዓላማና ሚና በተሳሳተ መንገድ የቃኘና ም/ቤቱን ከአስፈፃሚው አካል በታች የሚያስመስል ነው በማለት ተችተው፤ ይህ ሃሣብ ከአፈ ጉባኤውና ከም/ቤቱ ሴክሬታሪያት የወጣ ቢሆን ኖሮ ተገቢ በሆነ ነበር በማለት ገልፀዋል።
ም/ቤታችን,ምክር ቤታችን,የኛ ዋናው ተግባር ኤርትራውያኑ ሙስሊሞች ኤርትራዊ መሆናቸው ሣይሆን በሌላ አፍራሽ ተግባር ያልተሰማሩ ሰላማዊ ሙስሊሞች መሆናቸውን ማረጋገጡ ይመስለናል ያሉት የ/ጠ/ም/ቤቱ የሕዝብ ግንኙነት ክፍል ዋና ኃላፊ አንድ ሰው ሙስሊም እስከሆነ ድረስ የማንም አገር ዜጋ ይሁን የሃይማኖታዊ ፀሎት ሥነ ሥርዓትን መቃወም የጠቅላይ ም/ቤታችን የሐጅና ኡምራ ዓላማ አይደለም ሲሉ አክለው አመልክተዋል።
ም/ቤት,ምክር ቤት,ጠ/ሚ/ር መለስና ገነት ዘውዴን ጨምሮ በርካታ የኢህአዴግ ም/ቤት አባላት በፓርላማው አልተገኙም። አንዳንድ ወገኖች ከፓርላማው መከፈት በፊት ሁኔታዎችን በማመቻቸታቸው ውጤቱን ስለሚያውቁት ነው የሚል አስተያየት ይሰጣሉ።
ም/ቤትም,ምክር ቤትም,ቀደም ብሎ በተነሳው ውዝግብ ሳቢያ የሁለቱም ን/ም/ቤቶች ፕሬዚዳንት የሆኑት አቶ ክቡር ገና ከኢትዮጵያ ንግድ ም/ቤት ፕሬዚዳንትነት እንዲነሱ ተደርጓል። የአዲስ አበባው ንግድ ም/ቤት ይህን ውሳኔ በመቃወም ከኢትዮጵያ ንግድ ም/ቤት እራሱን አግልሏል። የኢትዮጵያ ንግድ ም/ቤትም በአፀፋው የአዲስ አበባው ንግድ ም/ቤት ፈርሶ አዲስ እንዲቋቋም ከሁለት ወር በፊት ወስኗል። ይህ ውሳኔው ግን ተግባራዊ ሳይሆን ቀርቶ እስከ ትላንትናው ዕለት ድረስ ዘልቋል።
ም/ቤትና,ምክር ቤትና,የጥቃት ዘመቻው ዋና መንስዔ የሰኔ 1992 ዓ.ም ምርጫ ሲሆን በተለይም በዚሁ ምርጫ በኦሞ ሸለቆ ወረዳ የጣምባሮ ሕዝብን ወክሎ የሚንቀሳቀሰው የጣህዴህ/ዴኢህዴኃ/ ዕጩዎች ሕገ መንግሥቱ በሚፈቅድላቸው መሰረት ለሕዝብ ተወካዮች ም/ቤትና ለክልል ም/ቤቶች ተወዳድረን ሁሉንም መቀመጫዎች ማሸነፋችን እንደሆነ በግልፅ ይታወቃል።
ም/ቤትን,ምክር ቤትን,የወረዳው ም/ቤት በሰፈራችሁበት መሬት ይገኝ የነበረውን ደን የጨፈጨፋችሁ በመሆኑ በወንጀል ትጠየቁበታላችሁ የሚል የማስፈራሪያና የዛቻ ደብዳቤ እንደፃፈላቸውና ይህን የወረዳው ም/ቤትን የእብሪት ደብዳቤ ከኦሮምኛ ወደ አማርኛ አስተርጉመው ከአቤቱታቸው ጋር አያይዘው ለጠ/ሚ/ር ጽ/ቤትና ለተወካዮች ም/ቤት ማስገባታቸውን ተወካዮቹ የሀገር ሽማግሌዎች ተናግረዋል።
ም/ቤቶች,ምክር ቤቶች,አቶ አብዱል ማህመድ ከደርግ ዘመን ጀምሮ ለበርታ ሕዝብ መብት መከበር ሱዳን ተሰደው ከነበሩት አቶ አልከድር ጋር በማበር ከፍተኛ ትግል ሲያደርጉ ቆይተው በኢህአዴግ የሽግግር መንግሥት ወቅት ወደ ኢትዮጵያ ተመልሰው በከፍተኛ የኃላፊነት ቦታዎች ላይ ማገልገላቸው ተገልጧል። በ1992 በተካሄደው የሕዝብ ተወካዮችና የክልል ም/ቤቶች ምርጫ በግል ተወዳድረው ለክልሉ የምክር ቤት አባልነት ተመርጠው ሲያገለግሉ ቆይተዋል። በቅርቡም ለበርታ ሕዝብ የመብት ጥያቄ ባደረጉት ትግል በሚያሳዩት ያላሰለሰ ጥረት የኢትዮጵያ በርታ ሕዝቦች ዴሞክራሲያዊ ድርጅት/ኢበሕዴድ/ አባል ሆነው ሲታገሉ እንደነበር ለማወቅ ተችሏል።
ም/ተ/ሊቀመንበር,ምክትል ተጠባባቂ ሊቀመንበር,የቅንጅት ለአንድነትና ለዲሞክራሲ ም/ተ/ሊቀመንበር ወ/ሪት ብርቱካን ሚዲቅሳ በትላንትናው ዕለት ታስረው ተፈቱ።
ም/አስተዳዳሪዎችን,ምክትል አስተዳዳሪዎችን,በቅፅል ስሙ ተስፋዬ ተንኮሉ በመባል የሚታወቀው ይህ ግለሰብ የደህንነት አባል ነኝ እያለ የተለያዩ የማጭበርበር ወንጀሎችን እንደፈፀመ የተገለጠው በ1995 ዓ.ም ሐምሌ ወር ነበር። ተስፋዬ ተክሉ የተባለ ግለሰብ በ1988 ዓ.ም በደቡብ ክልል ሙስና ፈፅመዋል የተባሉ የሲዳማ ዞን የአቃቤ ህግ ኃላፊ፣ የፖሊስ ም/መ/አለቃና 10 አለቃን ጥፋታቸውን አሣምኖ አስሯል። በ1990 ዓ.ም ደግሞ የኮንትሮባንድ ዕቃ አላግባብ ይዘው ለግል ጥቅማቸው አውለዋል የዞኑን አመራር አባላትና ፖሊስ ባልደረቦችን ገምግሟል። በግምገማው መሠረትም የዞኑን አመራር አባላትና ፖሊስ ባልደረቦችን ገምግሟል። በግምገማው መሰረትም የዞኑን የኢህአዴግ ተጠሪ፣ ም/አስተዳዳሪዎችን ሶስት ፖሊሶችን አስሯል።
ም/አዘጋጁ,ምክትል አዘጋጁ,ስለፕሬስ ነፃነት የወጣው አዋጅ ቁ.34/85፣ አንቀጽ 10/3/ሀ መሠረት ቅድሚያ የተጠያቂነት ኃላፊነት በአዘጋጅ ላይ የሚወድቅ ሆኖ ሳለ ከዋናና ም/አዘጋጁ ውጭ ሥራ አስኪያጁና አንድ ጉዳዩ የማይመለከታቸው የዝግጅት ባልደረባ አብረው ታፍሰው መታሠራቸው፣ በወንጀለኛ መቅጫ ሕግ ሥነ ሥርዓት ቁ. 28 መሠረት አሳሪው ምርመራ ማስተባበሪያ በተለይ ምርመራ ካጠናቀቀ በኋላ በዋስ መልቀቅ ሲችል አግቶ ማቆየቱ በአፈሳ ብዙ ሰዎችን በማሰር ሕትመቶቹን ለማስቆም ፍላጐት ያለ አስመስሎታል። «ግለሰቦችን በእስር በማንገላታት ሕትመቶችን ለማቆም ከመሞከር መንግሥት ምክንያት ካለው በውሣኔ ድርጅቱን አይዘጋውም?» የሚል ትችትም አስከትሏል።
ም/አዛዥ,ምክትል አዛዥ,የኢህዴን/ብአዴን ማዕከላዊ ኮሚቴ አባል የነበሩትና በኋላ ወደሠራዊቱ በመቀላቀል የአየር ኃይል ም/አዛዥ ሆነው የቆዩት ብ/ጄ/ል ኃይሌ ጥላሁን፣ አሁን የአየር ኃይል ተጠባባቂ አዛዥ ሆነው መሾማቸውን ከስፍራው የደረሰን ዜና ሲያስረዳ ከቀድሞው አዛዥ ጋር ቅርበት አላቸው የሚባሉ አባላት ከአየር ኃይል በመባረር ላይ መሆናቸውንም መረዳት ተችሏል።
ም/አፈጉባኤ,ምክትል አፈጉባኤ,በግምገማ ተባረዋል የተባሉት 12 የሲዳማ ዞን ባለስልጣናት 1/ አቶ ግርማ ጨሉቆ (የሲዳማ ዞን ፕሬዚዳንትና የፓርቲው ፓሊት ቢሮ አባል 2/አቶ ዋቀዩ ደበሣ (የአቅም ግንባታ መምሪያ ኃላፊ) 3/አቶ ተሾመ ላሌ (የማ/ኮሚቴ አባል) 4/ አቶ ለገሰ ያወሬ (የ/ማ/ኮሚቴ አባል) 5/ አቶ ብርሐኑ ሐንካራ (የማ/ኮሚቴ አባልና የማስታወቂያና ስፖርት ወጣቶች መምሪያ ኃላፊ) 6/ወ/ሮ በየነች (የሕዝብ ተወካዮች ም/ቤት አባል) 7/ አቶ ኤልያስ ካየስ (የማ/ኮሚቴ አባልና የጤና መምሪያ ኃላፊ) 8/አቶ ተገነ (የማ/ኮሚቴ አባል የውሃ ማዕድንና ኃይል ማመንጫ መምሪያ ኃላፊ) 9/ አቶ ታዬ በሊሲ (የማ/ኮሚቴ አባልና የዞኑ ም/ቤት አፈጉባኤ) 10/ አቶ ደጉና ካየሣ (የማ/ኮሚቴ አባልና የዞኑ ም/ቤት ም/አፈጉባኤ) እንዲሁም ሌሎች ሁለት ሥማቸውና ስልጣናቸ ያልታወቁ ሰዎች ናቸው።
ም/ኤር,,የኤርትራ ባንክ ከኢትዮጵያ ንግድ ባንክ በድራፍት (የባንክ ማዘዣ) እየተላከለት ያልከፈለውን 1.2 ቢሊዮን ብር አስመልክቶ የኢትዮጵያ ንግድ ባንክ አቅርቦት ለነበረው ጥያቄ የገንዘብ ሚኒስቴር ለንግድ ባንኩ መስከረም 4/1992 ዓ.ም በቁጥር ም/ኤር/ 3/5/4/26 በፃፈው ደብዳቤ መሰረት ጉዳዩ በመንግሥት ደረጃ እንደሚፈታ አረጋግጧል።
ም/ኮሚሽነር,ምክትል ኮሚሽነር,ይህ በዚህ እንዳለ የብፁዕ አቡነ ጢሞቴዎስ የኢትዮጵያ ኦ/ተ/ቤ/ክርስቲያን የልማት ኮሚሽን ኮሚሽነር በአቡነ ጳውሎስ ትዕዛዝ መነሳትና የኮሚሽኑ ቦርድ አባላት መበተን ከየአቅጣጫው ተቃውሞን ቀስቅሷል ተብሏል። ይህን በአቡነ ጳውሎስና በልዩ አማካሪያቸው ናቸው በሚባሉት በእህታቸው ልጅ ውሳኔ ከተወሰደው እርምጃ በልማት ኮሚሽኑ ም/ኮሚሽነር የሆኑት አቶ ፀጋዬ በርሄም ያልተስማሙበት መሆኑን የቅርብ ምንጮች ሲናገሩ ይሰማል።
ም/ዋ/ፀሐፊ,ምክትል ዋና ፀሐፊ,ባለፈው ሣምንት ዝግጅታችን ኦሮሚያ አውትሉክ (ኦሮሚያ ኦኡትሎኦክ) የተባለንው የእንግሊዘኛ መጽሔት ላንድ ማርክ በሚለው ዓምድ ሥር ጭሃንገ ኢስ ወልቾመ በሚል ርዕስ የኦሮሞ ነፃነት ግንባር ም/ዋ/ፀሐፊ ከነበሩት አቶ ሌንጮ ለታ ጋር ያደረገውን የቃለ-ምልልስ ትርጉም ማቅረባችን ይታወሣል።
ም/ዋና,ምክትል ዋና,ዐቃቤ ሕግ በአዘጋጆቹ ላይ ሦስት ክሶችን መሥርቶ የነበረ ሲሆን በሁለቱም ተከሳሾች ላይ የቀረበው አንደኛው ክስ «ስለፕሬስ ነፃነት የወጣውን አዋጅ ቁጥር 34/1985፣ አንቀፅ 10/1/10/2/ሐ 20/1፣ እንዲሁም በወንጀለኛ መቅጫ ሕግ ቁጥር 32/1/ሀ/ እና 480/ለ ላይ የተመለከተውን በመተላለፍ ተከሳሾች ግብረ አበር በመሆን ማናቸውም ፕሬስ ወይም የፕሬሱ ውጤት በሕግ የሚያስጠይቅ ይዘት የሌለው መሆኑን የማረጋገጥ ግዴታቸውን በመተላለፍ በ1ኛ ተከሳሽ ዋና አዘጋጅነትና በ2ኛ ተከሳሽ ም/ዋና አዘጋጅነት በህዳር ወር 1989 ዓ.ም አሳትመው በመላ ሀገሪቱ ባሰራጩት በአራተኛ ዓመት ቁጥር 12 ጦቢያ መጽሔት ላይ «መረብ ምላሽን (ኤርትራን) እንደገና ከኢትዮጵያ ጋር የማዋሀድ ስትራቴጂ» በሚል ዐብይ ርዕስ ውስጥ በገጽ 29 ላይ «የምርኮኝኘትና የውስጥ ጠላትን ያለማጤን ባህርይ» በሚል ንዑስ ርዕስ ሥር «ዛሬም ቢሆን አብዛኛዎቹ ኢትዮጵያውያን የተሻለ ነገር በመጠበቅ የወያኔ/ሻዕቢያን መግንሥት በመታገስና አጥፊዎቻቸውን ላለመጋፈጥ እየሞከሩ ነው ይህ ዓይነቱ ገይድን ያለመቀበል ባህርይ የካንሰር በሽተኛ ሐኪሞች በአደገኛ በሽታ መለከፉን በሚነግሩት ጊዜ የሚያሳየውን ባህርይ ይመስላል። በሁለቱም ሁኔታዎች ጠላታቸው በውስጣቸው መኖሩ ሲነገራቸው በቀላሉ አያምኑም። ወያኔ (ሻዕቢያና ትግርኛ ተናጋሪ ደጋፊዎቻቸው) ከፋፋይ በሆነ የጐሣ ፖለቲካ ኢትዮጵያን ለማጥፋት ሀብቷን ዘርፈው አካባቢያቸውን ለማልማትና ከ50 ሚሊዮን በላይ የሚቆጠረውንና ትግርኛ ተናጋሪ ያልሆነውን ኢትዮጵያዊ በባርነት ለማኖር እያሴሩ ነው። በአሁኑ ሰዓት ኢትዮጵያውያን ያላቸው ብቸኛ ዕድል በፍጥነት ችግሩን ተገንዝቦ አንድ በመሆን ጊዜው ሳይዘገይ ራስን ለመከላከል መጀመር ነው»
ም/ዋና/ፀሐፊ,ምክትል ዋና ፀሐፊ,የድርጅቱ ማኔጅመንት በዚህ ሳይገታ የማህበሩን ም/ዋና/ፀሐፊ ከስራ እንዲባረሩ የማህበሩ ሊ/መንበርና ም/ፀሐፊው የስድስት ወር የግዳጅ እረፍት እንዲወጡ በማድረግ የሰራተኛ ማህበሩን ለማሽመድመድ የሚደረገው ጥረት ተጠናክሮ መቀጠሉን ከስፍራው ቅርበት ያላቸው ወገኖች ይገልፃሉ።
ም/ዋን,ምክትል ዋና,ይህ በእንዲህ እንዳለም በኤርትራ የሚንቀሳቀሱ የኢሕአዴግ መንግስት ተቃዋሚዎች ከሻዕቢያ የሚሠጣቸው ድጋፍ የተጠናከረ መሆኑን የአካባቢው ምንጮች ገልፀዋል፤ የኦሮሞ ነፃነት ግንባር ኦነግ ከወር በፊት መለስተኛ ጉባኤ በአሰመራ ሲያደርግ የአርበኞች ግንባር የሚባለውን ተቃዋሚ ቡድን አመራር በቅርቡ የያዙት ሌ/ኮ/ል ታደሰ ሙሉነህና የቀድሞ የኢአግ አባል የነበረው ተማሪ ተስፋዬ ጌታቸው በሻዕቢያ እርዳታ ድጋፍ ለማሰባሰብ ወደ አውሮፓ መጓዛቸው ተሰምቷል። ኦነግ በአስመራ ባካሄደው ኮንፈረንስ የቀድሞው የኦነግ ም/ዋን ፀሐፊ የነበሩት ሌንጮ ለታ ጭምር እንደተገኙ የተገለፀ ቢሆንም በተጨባጭ ማረጋገጥ ግን አልተቻለም።
ም/ው/ጉ/ሚ,ምክትል ውጭ ጉዳይ ሚኒስትር,የአውሮፓን ህብረት በመወከል በኢትዮ ኤርትራ የድንበር ውዝግብ የሽምግልና ጥረት የሚያደርጉት የጣሊያን ም/ው/ጉ/ሚ ሪኖ ሴሪ ለኢሳያስ አፈወርቂ የቅርብ ወዳጅና ጓደኛ ናቸው ለሚለው ጥያቄ ባለስልጣኑ የኢሳያስም ሆነ የመለስ ጥሩ ጓደኛ ስለሆኑ ለኤርትራ ያደላሉ የሚባለው ሙሉ ለሙሉ ስህተት ነው ሲሉ አስምረውበታል።
ም/ው/ጉዳይ,ምክትል ውጭ ጉዳይ,ም/ው/ጉዳይ ሚኒስትር ዶ/ር ተቀዳ ዓለሙ ለአንድ የውጪ ዜና ማሠራጫ ጣቢያ በሰጡት መግለጫ እንደተናገሩት ኢትዮጵያ የማስፈፀሚያውን ረቂቅ ስትፈልግ ትቀበል ሳትፈልግ ትተው የሚል አስገዳጅ ሁኔታ እንደቀረበላት የተናገሩት ዶ/ር ተቀዳ በዚህ ምክንያት የሰላም ሂደቱ አሁንም በነበረበት እንዳለ መሆኑን አስታውቀዋል።
ም/የውጪ/ጉ/ሚ/ር,ምክትል የውጪ ጉዳይ ሚኒስቴር,በሌላ በኩል በዋሽንግተን አንድ ኢትዮጵያ ድርጅት 1500 ያህል ኢትዮጵያውያንን ሰብስቦ በአሜሪካ የኢትዮጵያ አምባሳደር ብርሃኔ ገ/ክርስቶስና የኢትዮጵያ ም/የውጪ/ጉ/ሚ/ር ዶ/ር ተቀዳ ዓለሙ በተገኙበት የሻዕቢያን መንግሥት አውግዘው የፖለቲካ ልዩነቶችን ወደ ጐን አድርገው ከኢትዮጵያ መንግሥት ጋር ለመሠለፍ በስምምነት አፅድቀዋል። ይህ በእንዲህ እንዳለ በዌልስ ዋና ከተማ በካርዱፍ የተሰበሰቡት የአውሮፓ ሕብረት መሪዎች ግጭቱ በሰላም ይፈታ ዘንድ ተማፅነዋል።
ም/የፍትህ,ምክትል የፍትህ,በአዲሱ መዋቅር የጠ/ሚ/ር ጽ/ቤት ሃላፊና የካቢኔ ጉዳዮች ሚኒስትር በመሆን አቶ ብርሃኑ አዴሎ ከመስከረም 4 ቀን 1997 ዓ.ም ጀምሮ መሾማቸውን ከጠቅላይ ሚኒስትር ጽህፈት ቤት የወጣው ደብዳቤ ያመለክታል። አዲስ የተሾሙት የጽ/ቤት ሃላፊው ከዚህ ቀደም የደቡብ ክልል ም/የፍትህ ቢሮ ሃላፊና በሲቪል ሰርቪስ ኮሌጅ መምህር እንደነበሩ ታውቋል።
ም/ጌዴዎን,,በካህናቱ ጥረትና ምዝበራው አሳዝኗቸው በእልህ በመነሳሳት ቁጥጥሩ እንዲጋለጡ ቢደረገም የሚደረገውን ምዝበራ እየተመለከቱ «ተጨባጭ መረጃ አምጡ ሰውን በከንቱ አትወንጅሉ» እያሉ አንዴ እንደማስፈራራት ሌላጊዜ እንደመለሳለስ ሽፋን የሚሰጡት የካቴድራሉ ዋና ፀሐፊ ከዲያቆን የማነ ዘመንፈስ ቅዱስ ጀምሮ ም/ሊ/መንበሩ መጋቤ ም/ጌዴዎን ድረስ ግምገማው ይቀጥልበት ሲል ዘገባው ጠቁሟል።
